id_produto,nome_produto,categoria,marca,preco,estoque,status_venda
1,Arroz 5kg Tradicional,Mercearia,GrãoBom,27.9,78,Disponível
2,Sabão em Pó 1kg Plus,Limpeza,BrilhoMax,18.5,42,Disponível
3,Refrigerante Cola 2L,Bebidas,Refresca,9.99,65,Promoção
4,Shampoo 400ml,Higiene,FreshLine,21.9,18,Indisponível
5,Lasanha Congelada Premium,Congelados,ProntoChef,29.9,33,Disponível
6,Queijo Mussarela 200g,Laticínios,BomLeite,14.5,56,Disponível
7,Banana Prata kg,Hortifruti,Campo Fresco,5.99,80,Promoção
8,Pão de Forma,Padaria,Pão Dourado,8.75,61,Disponível
9,Detergente 500ml,Limpeza,Casa Clara,3.49,120,Disponível
10,Pizza Congelada,Congelados,FreezUp,24.9,12,Promoção
11,Óleo de Soja 900ml,Mercearia,Essencial,22.41,57,Disponível
12,Hambúrguer Bovino Premium,Congelados,ProntoChef,32.5,0,Disponível
13,Banana Prata kg Econômico,Hortifruti,Horta Boa,9.68,65,Promoção
14,Chá Gelado 1L,Bebidas,Refresca,4.19,1,Indisponível
15,Água com Gás 500ml,Bebidas,Refresca,13.71,9,Disponível
16,Água Sanitária 1L Tradicional,Limpeza,BrilhoMax,13.21,59,Disponível
17,Bolo Simples Premium,Padaria,TrigoBom,7.69,46,Disponível
18,Arroz 5kg Econômico,Mercearia,Sabor Real,10.38,87,Promoção
19,Chá Gelado 1L,Bebidas,Refresca,3.73,67,Disponível
20,Suco de Laranja 1L Premium,Bebidas,Água Viva,3.02,42,Promoção
21,Banana Prata kg Tradicional,Hortifruti,Horta Boa,2.74,70,Promoção
22,Molho de Tomate 300g,Mercearia,Essencial,8.9,40,Disponível
23,Desodorante Aerosol Tradicional,Higiene,SuaveToque,17.19,0,Disponível
24,Sabonete 90g Tradicional,Higiene,Vida Limpa,16.21,11,Indisponível
25,Água com Gás 500ml Tradicional,Bebidas,SaborMais,2.67,69,Disponível
26,Óleo de Soja 900ml,Mercearia,Mesa Cheia,18.19,76,Disponível
27,Sabão em Pó 1kg Tradicional,Limpeza,LimpaTudo,2.95,61,Disponível
28,Hambúrguer Bovino,Congelados,ProntoChef,36.33,53,Disponível
29,Manteiga 200g Econômico,Laticínios,Vaca Feliz,15.21,40,Disponível
30,Batata Pré-frita,Congelados,MaisPrático,31.52,0,Disponível
31,Desodorante Aerosol Tradicional,Higiene,Vida Limpa,21.25,36,Disponível
32,Chá Gelado 1L Econômico,Bebidas,FrutaMix,8.76,71,Disponível
33,Detergente 500ml Tradicional,Limpeza,PuroLar,26.44,23,Promoção
34,Manteiga 200g Premium,Laticínios,BomLeite,8.66,34,Disponível
35,Detergente 500ml Tradicional,Limpeza,BrilhoMax,6.92,70,Disponível
36,Macarrão 500g,Mercearia,Sabor Real,3.44,15,Indisponível
37,Suco de Laranja 1L Tradicional,Bebidas,SaborMais,6.86,52,Promoção
38,Água com Gás 500ml,Bebidas,FrutaMix,7.0,5,Indisponível
39,Batata Pré-frita,Congelados,MaisPrático,36.78,43,Disponível
40,Lasanha Congelada Plus,Congelados,ProntoChef,29.01,0,Disponível
41,Detergente 500ml Plus,Limpeza,PuroLar,7.16,103,Disponível
42,Tomate kg Plus,Hortifruti,Horta Boa,4.85,13,Indisponível
43,Pão de Hambúrguer Plus,Padaria,Pão Dourado,10.47,35,Disponível
44,Desinfetante 2L Econômico,Limpeza,LimpaTudo,6.68,39,Disponível
45,Desodorante Aerosol,Higiene,Care+,18.43,1,Disponível
46,Detergente 500ml Econômico,Limpeza,LimpaTudo,23.81,46,Disponível
